Policy_ID,Customer_ID,Agent_ID,Product,Branch,Policy_Start_Date,Policy_End_Date,Premium,Sum_Insured,Policy_Status
POL000001,CUST01883,AG079,Motor,North,2025-04-21,2026-04-21,21134,866494,Expired
POL000002,CUST02375,AG111,Home,East,2023-08-22,2024-08-21,8207,787872,Renewed
POL000003,CUST01820,AG057,Travel,South,2023-11-23,2024-11-22,14386,561054,Renewed
POL000004,CUST02758,AG063,Commercial Property,West,2023-10-25,2024-10-24,974640,73098000,Lapsed
POL000005,CUST01812,AG078,Marine,East,2023-08-28,2024-08-27,153053,7040438,Cancelled
POL000006,CUST01288,AG046,Home,North,2024-09-24,2025-09-24,19035,1351485,Cancelled
POL000007,CUST02812,AG120,Home,East,2026-07-19,2027-07-19,32867,3023764,Expired
POL000008,CUST01561,AG003,Motor,West,2024-11-17,2025-11-17,6433,527506,Renewed
POL000009,CUST01103,AG047,Travel,West,2025-11-11,2026-11-11,12410,657730,Renewed
POL000010,CUST02175,AG104,Home,South,2026-03-04,2027-03-04,63944,2877480,Active
POL000011,CUST00651,AG012,Travel,East,2025-02-23,2026-02-23,3948,386904,Lapsed
POL000012,CUST01201,AG019,Motor,East,2025-06-24,2026-06-24,10194,764550,Cancelled
POL000013,CUST00950,AG112,Home,South,2025-05-31,2026-05-31,28420,881020,Lapsed
POL000014,CUST00688,AG031,Motor,South,2026-07-25,2027-07-25,23890,525580,Expired
POL000015,CUST00733,AG069,Commercial Property,North,2023-11-12,2024-11-11,906990,31744650,Renewed
POL000016,CUST00036,AG042,Commercial Property,East,2024-01-02,2025-01-01,307579,12610739,Cancelled
POL000017,CUST00685,AG007,Commercial Property,North,2024-03-13,2025-03-13,191504,15320320,Expired
POL000018,CUST01864,AG023,Home,South,2024-07-17,2025-07-17,45608,1550672,Expired
POL000019,CUST01888,AG068,Home,North,2024-06-30,2025-06-30,32734,2684188,Renewed
POL000020,CUST02481,AG074,Commercial Property,West,2025-06-18,2026-06-18,421128,29900088,Cancelled
POL000021,CUST00150,AG027,Commercial Property,West,2025-10-14,2026-10-14,893934,25924086,Lapsed
POL000022,CUST01227,AG048,Marine,East,2026-01-10,2027-01-10,128111,2946553,Cancelled
POL000023,CUST02419,AG102,Travel,South,2024-06-14,2025-06-14,5822,215414,Cancelled
POL000024,CUST01994,AG052,Travel,South,2025-07-20,2026-07-20,15386,1215494,Renewed
POL000025,CUST00597,AG115,Marine,South,2026-01-04,2027-01-04,128999,4127968,Cancelled
POL000026,CUST02451,AG038,Marine,North,2026-04-20,2027-04-20,121333,7886645,Lapsed
POL000027,CUST01358,AG025,Commercial Property,West,2025-06-29,2026-06-29,419604,24756636,Lapsed
POL000028,CUST00102,AG066,Home,North,2024-12-22,2025-12-22,17564,825508,Lapsed
POL000029,CUST02547,AG042,Marine,North,2024-02-01,2025-01-31,107566,6023696,Cancelled
POL000030,CUST02106,AG005,Motor,North,2026-01-19,2027-01-19,33730,3035700,Lapsed
POL000031,CUST02926,AG057,Commercial Property,North,2025-02-12,2026-02-12,742706,40106124,Expired
POL000032,CUST00903,AG006,Home,South,2023-10-03,2024-10-02,48427,1210675,Cancelled
POL000033,CUST00622,AG055,Motor,South,2025-11-22,2026-11-22,17746,1597140,Lapsed
POL000034,CUST02979,AG062,Marine,South,2026-04-17,2027-04-17,62832,1759296,Expired
POL000035,CUST01404,AG079,Travel,South,2025-01-20,2026-01-20,16060,1076020,Renewed
POL000036,CUST01143,AG104,Marine,East,2025-02-22,2026-02-22,60789,5835744,Expired
POL000037,CUST01232,AG064,Home,North,2025-06-11,2026-06-11,39679,2817209,Active
POL000038,CUST00897,AG113,Commercial Property,East,2023-09-10,2024-09-09,284488,14508888,Renewed
POL000039,CUST02321,AG043,Home,North,2024-04-05,2025-04-05,31789,1843762,Active
POL000040,CUST01286,AG119,Home,South,2025-04-09,2026-04-09,68844,1858788,Renewed
POL000041,CUST01518,AG016,Travel,West,2025-12-13,2026-12-13,2002,118118,Expired
POL000042,CUST00964,AG037,Travel,West,2025-03-26,2026-03-26,14281,728331,Lapsed
POL000043,CUST00340,AG013,Home,East,2023-12-13,2024-12-12,47189,1415670,Active
POL000044,CUST00009,AG061,Motor,South,2024-08-07,2025-08-07,33084,1389528,Active
POL000045,CUST02343,AG012,Home,East,2025-05-08,2026-05-08,52481,1312025,Expired
POL000046,CUST02517,AG001,Marine,East,2025-05-22,2026-05-22,172794,7602936,Expired
POL000047,CUST02155,AG010,Travel,West,2024-04-11,2025-04-11,10549,1033802,Cancelled
POL000048,CUST02867,AG066,Home,North,2025-11-02,2026-11-02,47725,1527200,Renewed
POL000049,CUST00667,AG089,Commercial Property,South,2024-10-27,2025-10-27,747312,59784960,Renewed
POL000050,CUST00964,AG102,Marine,East,2024-02-24,2025-02-23,125144,7383496,Cancelled
POL000051,CUST00241,AG076,Home,South,2023-09-18,2024-09-17,17746,621110,Expired
POL000052,CUST01363,AG089,Motor,West,2025-12-19,2026-12-19,13264,795840,Lapsed
POL000053,CUST02408,AG039,Home,West,2026-06-12,2027-06-12,34861,1603606,Renewed
POL000054,CUST00201,AG005,Motor,East,2025-08-31,2026-08-31,15258,793416,Renewed
POL000055,CUST00545,AG105,Home,West,2023-09-22,2024-09-21,51144,3119784,Renewed
POL000056,CUST00382,AG063,Marine,South,2026-01-18,2027-01-18,63038,3908356,Expired
POL000057,CUST00829,AG093,Motor,South,2025-08-03,2026-08-03,20730,891390,Renewed
POL000058,CUST00012,AG014,Motor,North,2026-07-02,2027-07-02,28640,2319840,Lapsed
POL000059,CUST02175,AG051,Home,South,2024-03-24,2025-03-24,29791,2591817,Lapsed
POL000060,CUST02421,AG071,Commercial Property,South,2024-12-29,2025-12-29,804038,45830166,Lapsed
POL000061,CUST02569,AG102,Travel,North,2025-03-27,2026-03-27,14347,401716,Renewed
POL000062,CUST01085,AG039,Travel,West,2025-11-03,2026-11-03,8303,199272,Expired
POL000063,CUST00167,AG029,Commercial Property,East,2023-12-20,2024-12-19,290355,22357335,Expired
POL000064,CUST02239,AG054,Travel,North,2024-05-11,2025-05-11,9966,219252,Lapsed
POL000065,CUST02263,AG037,Marine,North,2023-11-11,2024-11-10,75945,2582130,Expired
POL000066,CUST02807,AG055,Travel,East,2026-01-21,2027-01-21,7562,226860,Cancelled
POL000067,CUST02693,AG038,Home,West,2026-03-21,2027-03-21,14518,754936,Renewed
POL000068,CUST01183,AG040,Home,West,2024-04-20,2025-04-20,55786,4964954,Lapsed
POL000069,CUST00271,AG100,Motor,North,2026-07-06,2027-07-06,15195,820530,Expired
POL000070,CUST02093,AG016,Motor,West,2025-07-11,2026-07-11,27120,2196720,Lapsed
POL000071,CUST01589,AG104,Marine,North,2025-02-27,2026-02-27,44125,1941500,Lapsed
POL000072,CUST00657,AG067,Marine,North,2024-02-27,2025-02-26,62543,5503784,Expired
POL000073,CUST02099,AG100,Travel,East,2025-05-19,2026-05-19,15168,1076928,Expired
POL000074,CUST00929,AG107,Home,South,2026-06-10,2027-06-10,58689,4871187,Lapsed
POL000075,CUST00172,AG005,Travel,West,2023-11-09,2024-11-08,7524,579348,Expired
POL000076,CUST00031,AG041,Motor,East,2025-08-01,2026-08-01,6122,483638,Active
POL000077,CUST02025,AG071,Home,North,2026-01-11,2027-01-11,44792,4031280,Cancelled
POL000078,CUST01744,AG038,Motor,North,2025-01-17,2026-01-17,25779,618696,Active
POL000079,CUST01150,AG044,Motor,East,2024-04-24,2025-04-24,13973,1006056,Active
POL000080,CUST00094,AG004,Commercial Property,East,2025-02-18,2026-02-18,476635,26691560,Cancelled
POL000081,CUST00465,AG013,Home,North,2024-04-22,2025-04-22,69040,3659120,Cancelled
POL000082,CUST00202,AG036,Marine,North,2023-10-27,2024-10-26,75655,4463645,Lapsed
POL000083,CUST01654,AG097,Commercial Property,North,2026-04-27,2027-04-27,155314,3882850,Cancelled
POL000084,CUST00387,AG076,Travel,North,2025-01-05,2026-01-05,5485,109700,Active
POL000085,CUST00438,AG034,Travel,North,2025-03-21,2026-03-21,14303,572120,Lapsed
POL000086,CUST02331,AG090,Commercial Property,South,2025-04-04,2026-04-04,729986,24089538,Active
POL000087,CUST01671,AG001,Travel,South,2024-12-18,2025-12-18,17701,1522286,Cancelled
POL000088,CUST00865,AG079,Commercial Property,South,2026-04-29,2027-04-29,500597,34541193,Expired
POL000089,CUST01179,AG035,Commercial Property,East,2024-03-27,2025-03-27,656424,33477624,Lapsed
POL000090,CUST00470,AG052,Motor,West,2025-12-16,2026-12-16,21711,2062545,Expired
POL000091,CUST01020,AG017,Marine,South,2024-06-12,2025-06-12,187987,4699675,Expired
POL000092,CUST01133,AG015,Home,North,2024-09-20,2025-09-20,52831,4913283,Active
POL000093,CUST01832,AG019,Home,North,2023-11-27,2024-11-26,35089,1333382,Active
POL000094,CUST01127,AG057,Marine,East,2025-08-19,2026-08-19,192889,8680005,Expired
POL000095,CUST02003,AG036,Home,West,2023-12-15,2024-12-14,20320,1524000,Active
POL000096,CUST00245,AG096,Marine,North,2026-04-09,2027-04-09,61577,4803006,Lapsed
POL000097,CUST01145,AG023,Marine,South,2024-06-21,2025-06-21,95290,7051460,Active
POL000098,CUST00823,AG089,Travel,North,2025-09-03,2026-09-03,8350,459250,Renewed
POL000099,CUST00547,AG003,Travel,East,2024-09-18,2025-09-18,15356,767800,Renewed
POL000100,CUST02955,AG048,Travel,South,2025-05-20,2026-05-20,4598,395428,Cancelled
POL000101,CUST00258,AG073,Motor,East,2026-01-14,2027-01-14,38848,1281984,Expired
POL000102,CUST02514,AG074,Marine,East,2026-01-07,2027-01-07,195229,16984923,Expired
POL000103,CUST02327,AG044,Travel,North,2024-03-25,2025-03-25,19149,382980,Renewed
POL000104,CUST02851,AG103,Home,South,2025-02-25,2026-02-25,56012,3024648,Lapsed
POL000105,CUST00804,AG114,Home,West,2025-01-17,2026-01-17,14297,729147,Cancelled
POL000106,CUST02020,AG030,Motor,East,2023-08-14,2024-08-13,28388,2129100,Lapsed
POL000107,CUST00180,AG027,Motor,North,2024-09-22,2025-09-22,11762,929198,Renewed
POL000108,CUST00556,AG029,Commercial Property,North,2026-06-13,2027-06-13,803329,37756463,Expired
POL000109,CUST01149,AG083,Marine,North,2024-07-16,2025-07-16,23066,2191270,Renewed
POL000110,CUST01026,AG102,Home,North,2023-12-19,2024-12-18,68526,6578496,Lapsed
POL000111,CUST02693,AG097,Home,North,2025-06-05,2026-06-05,53154,1063080,Renewed
POL000112,CUST00940,AG119,Home,West,2025-06-05,2026-06-05,14559,1353987,Cancelled
POL000113,CUST02851,AG022,Motor,West,2023-11-01,2024-10-31,27869,640987,Active
POL000114,CUST00186,AG094,Commercial Property,North,2024-10-30,2025-10-30,295597,12415074,Expired
POL000115,CUST01842,AG029,Home,South,2025-08-10,2026-08-10,27333,2705967,Expired
POL000116,CUST02813,AG056,Motor,North,2023-10-31,2024-10-30,18380,716820,Active
POL000117,CUST02184,AG023,Home,West,2024-08-12,2025-08-12,8499,620427,Active
POL000118,CUST01781,AG030,Motor,South,2026-08-01,2027-08-01,18879,774039,Cancelled
POL000119,CUST02324,AG028,Commercial Property,East,2026-03-07,2027-03-07,742601,57180277,Renewed
POL000120,CUST00083,AG026,Home,West,2024-08-08,2025-08-08,28691,2037061,Cancelled
POL000121,CUST02845,AG017,Travel,West,2025-08-22,2026-08-22,4779,124254,Expired
POL000122,CUST02122,AG024,Commercial Property,North,2026-01-02,2027-01-02,105398,9275024,Expired
POL000123,CUST00304,AG031,Home,South,2025-09-30,2026-09-30,41319,3636072,Lapsed
POL000124,CUST01361,AG071,Motor,East,2026-06-10,2027-06-10,39411,1458207,Expired
POL000125,CUST00904,AG090,Motor,West,2024-11-11,2025-11-11,37145,1151495,Lapsed
POL000126,CUST01319,AG059,Home,West,2024-04-10,2025-04-10,35664,1462224,Cancelled
POL000127,CUST02724,AG089,Marine,North,2024-04-11,2025-04-11,23022,529506,Active
POL000128,CUST02818,AG025,Motor,East,2025-09-01,2026-09-01,15808,1280448,Active
POL000129,CUST00614,AG046,Travel,East,2023-12-20,2024-12-19,1846,110760,Renewed
POL000130,CUST00606,AG077,Motor,East,2024-11-07,2025-11-07,24145,2245485,Lapsed
POL000131,CUST01184,AG065,Travel,East,2024-07-31,2025-07-31,5934,587466,Active
POL000132,CUST00108,AG006,Marine,West,2025-06-28,2026-06-28,152944,14682624,Active
POL000133,CUST01481,AG093,Motor,East,2024-09-19,2025-09-19,21096,1814256,Cancelled
POL000134,CUST01692,AG020,Commercial Property,South,2024-07-22,2025-07-22,297256,16051824,Lapsed
POL000135,CUST00698,AG101,Home,East,2023-11-29,2024-11-28,51340,4774620,Renewed
POL000136,CUST01681,AG078,Motor,North,2025-11-25,2026-11-25,35786,3507028,Lapsed
POL000137,CUST00516,AG009,Travel,East,2023-12-19,2024-12-18,18230,492210,Cancelled
POL000138,CUST02277,AG118,Motor,North,2025-03-19,2026-03-19,30668,2668116,Active
POL000139,CUST01020,AG067,Marine,East,2024-07-23,2025-07-23,144162,6343128,Renewed
POL000140,CUST00269,AG019,Home,North,2026-03-15,2027-03-15,25550,1814050,Lapsed
POL000141,CUST01219,AG021,Marine,South,2024-01-13,2025-01-12,189131,4160882,Expired
POL000142,CUST00427,AG040,Travel,South,2026-07-29,2027-07-29,15119,786188,Active
POL000143,CUST01453,AG097,Travel,North,2026-02-01,2027-02-01,13775,922925,Cancelled
POL000144,CUST02227,AG088,Motor,South,2025-08-05,2026-08-05,31429,1351447,Cancelled
POL000145,CUST01147,AG111,Home,North,2025-07-04,2026-07-04,38790,2211030,Lapsed
POL000146,CUST02278,AG090,Commercial Property,North,2024-10-18,2025-10-18,303171,25466364,Lapsed
POL000147,CUST02856,AG008,Home,East,2026-05-05,2027-05-05,55546,3499398,Active
POL000148,CUST01455,AG025,Marine,North,2024-03-24,2025-03-24,73645,6407115,Cancelled
POL000149,CUST00419,AG012,Commercial Property,East,2026-04-02,2027-04-02,895097,28643104,Lapsed
POL000150,CUST02431,AG012,Travel,West,2023-11-27,2024-11-26,7508,750800,Expired
POL000151,CUST00161,AG113,Travel,South,2023-08-21,2024-08-20,11584,834048,Active
POL000152,CUST01892,AG065,Motor,North,2024-05-05,2025-05-05,38088,2742336,Lapsed
POL000153,CUST00109,AG104,Commercial Property,North,2024-12-02,2025-12-02,910198,20934554,Lapsed
POL000154,CUST02447,AG068,Motor,East,2025-12-04,2026-12-04,32198,676158,Expired
POL000155,CUST01162,AG106,Travel,East,2025-09-17,2026-09-17,9647,926112,Active
POL000156,CUST00238,AG010,Travel,North,2026-05-27,2027-05-27,12330,727470,Lapsed
POL000157,CUST02209,AG038,Motor,North,2024-01-06,2025-01-05,39469,1894512,Expired
POL000158,CUST01669,AG025,Travel,West,2025-11-03,2026-11-03,5564,228124,Expired
POL000159,CUST01384,AG054,Home,South,2024-08-10,2025-08-10,23737,688373,Active
POL000160,CUST00176,AG107,Marine,North,2026-03-12,2027-03-12,156231,10311246,Active
POL000161,CUST00190,AG067,Marine,South,2026-05-10,2027-05-10,123677,3957664,Active
POL000162,CUST00227,AG067,Home,West,2024-07-03,2025-07-03,69528,3198288,Cancelled
POL000163,CUST02806,AG059,Travel,West,2025-11-04,2026-11-04,13657,396053,Cancelled
POL000164,CUST01395,AG046,Home,North,2025-07-11,2026-07-11,58305,1515930,Renewed
POL000165,CUST01988,AG055,Commercial Property,South,2025-08-19,2026-08-19,706805,64319255,Expired
POL000166,CUST00166,AG015,Commercial Property,South,2025-02-27,2026-02-27,836078,41803900,Cancelled
POL000167,CUST00973,AG062,Commercial Property,North,2023-12-08,2024-12-07,362937,32664330,Lapsed
POL000168,CUST02965,AG016,Home,West,2025-07-03,2026-07-03,21891,569166,Active
POL000169,CUST02313,AG075,Marine,West,2026-03-08,2027-03-08,32449,908572,Cancelled
POL000170,CUST00679,AG052,Marine,South,2024-12-12,2025-12-12,138779,13322784,Lapsed
POL000171,CUST02264,AG083,Commercial Property,West,2023-11-21,2024-11-20,920613,89299461,Lapsed
